DATE,P01,P02,P03,P04,P06,P07,P08,P11,T01,T02,T03,T04,T05,T06,T07,T08,T09
4/24/79,558.85,559.5,557.56,559.56,560.95,559.85,556.72,NA,NA,NA,560.08,NA,570,NA,NA,577.25,NA
5/1/79,558.9,559.58,557.56,559.59,560.98,559.91,556.73,NA,NA,NA,560.08,NA,569.99,NA,NA,577.22,NA
5/9/79,558.93,559.61,557.57,559.62,560.99,559.94,556.75,NA,NA,NA,560.08,NA,569.97,NA,NA,577.21,NA
5/17/79,558.93,559.61,557.56,559.62,560.99,559.94,556.73,NA,NA,NA,560.06,NA,569.93,NA,NA,577.16,NA
5/24/79,558.93,559.61,557.57,559.62,560.99,559.93,556.74,NA,NA,NA,560.07,NA,569.92,NA,NA,577.14,NA
5/31/79,558.92,559.6,557.56,559.6,560.98,559.92,556.73,NA,NA,NA,560.06,NA,569.86,NA,NA,577.1,NA
6/6/79,558.91,559.34,557.54,NA,560.96,559.9,556.72,NA,NA,NA,560.05,NA,569.82,NA,NA,577.05,NA
6/12/79,558.89,559.56,557.53,559.56,560.94,559.88,556.7,NA,NA,NA,560.02,NA,569.77,NA,NA,576.96,NA
6/21/79,558.96,559.61,557.59,559.63,561,559.94,556.75,NA,NA,NA,560.08,NA,569.88,NA,NA,577.26,NA
6/28/79,558.94,559.3,557.57,559.61,560.98,559.93,556.71,NA,NA,NA,560.05,NA,569.83,NA,NA,577.21,NA
7/12/79,558.91,559.57,557.53,559.57,560.94,559.88,556.68,NA,NA,NA,559.98,NA,569.72,NA,NA,577.08,NA
7/26/79,558.84,559.49,557.43,559.5,560.87,559.81,556.61,NA,NA,NA,559.85,NA,569.56,NA,NA,576.96,NA
8/9/79,558.85,559.52,557.46,559.52,560.88,559.82,556.61,NA,NA,NA,559.92,NA,569.56,NA,NA,576.96,NA
8/23/79,558.79,559.45,557.37,559.46,560.84,559.75,556.58,NA,558.66,556.55,559.72,NA,569.56,NA,NA,576.96,NA
9/5/79,558.75,559.41,557.3,559.42,560.76,559.7,556.54,NA,558.66,556.51,559.66,NA,569.56,NA,NA,576.96,NA
9/17/79,558.71,559.37,557.21,559.38,560.71,559.64,556.5,NA,558.66,556.47,559.66,NA,569.56,564.26,569.56,576.96,576.16
10/2/79,558.65,559.29,557.16,559.31,560.63,559.55,556.45,NA,558.66,556.4,559.66,NA,569.56,564.26,569.56,576.96,576.16
10/15/79,558.63,559.27,557.16,559.28,560.6,559.51,556.42,NA,558.66,556.37,559.66,NA,569.56,564.26,569.56,576.96,576.16
